EC,cofactor_id,External Dependence,Substitution Logic,Inhibitor,in_kegg,in_expasy,in_pdbe,comment_kegg,ec_names,comment_expasy,HET,cpdsViaHETs,in_ebi,cofactor_ebi,cofactor_expasy,cofactor_pdbe,match_via_ebi_cofactor,match_via_expasy_cofactor,match_via_kegg,match_via_pdbe_cofactor,source_ebi,EC3_description,EC_cpds,cofactorCIDsInEC,cofactorCIDsInEC_count
1.2.99.8,Generic FeS,TRUE,,,TRUE,TRUE,,"The enzyme from the archaeon Sulfolobus acidocaldarius catalyses the oxidation of D-glyceraldehyde in the nonphosphorylative Entner-Doudoroff pathway. With 2,6-dichlorophenolindophenol as artificial electron acceptor, the enzyme shows a broad substrate range, but is most active with D-glyceraldehyde. It is not known which acceptor is utilized in vivo. The iron-sulfur protein contains FAD and molybdopterin guanine dinucleotide.","['glyceraldehyde dehydrogenase (FAD-containing)', 'glyceraldehyde oxidoreductase']","['The enzyme from the archaeon Sulfolobus acidocaldarius catalyzes the oxidation of D-glyceraldehyde in the nonphosphorylative Entner-Doudoroff pathway.', 'With 2,6-dichlorophenolindophenol as artificial electron acceptor, the enzyme shows a broad substrate range, but is most active with D-glyceraldehyde.', 'It is not known which acceptor is utilized in vivo.']",,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'FAD', 'molybdopterin']",,,With other acceptors.,"['C00001', 'C00028', 'C00030', 'C00258', 'C00577']",,
1.20.2.1,Generic FeS,TRUE,,,TRUE,TRUE,,"A molybdoprotein containing iron-sulfur clusters. Isolated from alpha-proteobacteria. Unlike EC 1.20.9.1, arsenate reductase (azurin), it does not use azurin as acceptor.","['arsenate reductase (cytochrome c)', 'arsenite oxidase (ambiguous)']","['Isolated from alpha-proteobacteria.', 'Unlike EC 1.20.9.1 it does not use azurin as acceptor.']",,,,,Iron-sulfur,,,Iron-sulfur,['iron-sulfur'],,,With a cytochrome as acceptor.,"['C00001', 'C00080', 'C00125', 'C00126', 'C06697', 'C11215']",,
1.20.9.1,Generic FeS,TRUE,,,,TRUE,,"Contains a molybdopterin centre comprising two molybdopterin guanosine dinucleotide cofactors bound to molybdenum, a [3Fe-4S] cluster and a Rieske-type [2Fe-2S] cluster. Isolated from beta-proteobacteria. Also uses a c-type cytochrome or O2 as acceptors.","['arsenate reductase (azurin)', 'arsenite oxidase (ambiguous)']",['The enzyme also uses a c-type cytochrome or O(2) as acceptors.'],,,,,Iron-sulfur,,,Iron-sulfur,,,,With a copper protein as acceptor.,"['C00001', 'C00080', 'C00125', 'C00126', 'C05357', 'C05358', 'C06697', 'C11215']",,
1.21.98.1,Generic FeS,TRUE,,,,TRUE,,"This enzyme is a member of the 'AdoMet radical' (radical SAM) family. The enzyme, found in several bacterial species, is part of the futalosine pathway for menaquinone biosynthesis.","['cyclic dehypoxanthinyl futalosine synthase', 'MqnC', 'dehypoxanthinyl futalosine cyclase']","[""This enzyme is a member of the 'AdoMet radical' (radical SAM) family."", 'The enzyme, found in several bacterial species, is part of the futalosine pathway for menaquinone biosynthesis.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,"With other, known acceptors.","['C00019', 'C00073', 'C05198', 'C17010', 'C17017']",,
1.21.98.2,Generic FeS,TRUE,,,TRUE,,,"This enzyme catalyses a step in the biosynthesis of rebeccamycin, an indolocarbazole alkaloid produced by the bacterium Lechevalieria aerocolonigenes. The enzyme is a dimeric heme-protein oxidase that catalyses the oxidative dimerization of two L-tryptophan-derived molecules to form dichlorochromopyrrolic acid, the precursor for the fused six-ring indolocarbazole scaffold of rebeccamycin [1]. Contains one molecule of heme b per monomer, as well as non-heme iron that is not part of an iron-sulfur center [2]. In vivo the enzyme uses hydrogen peroxide, formed by the enzyme upstream in the biosynthetic pathway (EC 1.4.3.23, 7-chloro-L-tryptophan oxidase) as the electron acceptor. However, the enzyme is also able to catalyse the reaction using molecular oxygen [3].","['dichlorochromopyrrolate synthase', 'RebD', 'chromopyrrolic acid synthase', 'chromopyrrolate synthase']",,,,,,,,,,"['iron-sulfur', 'heme', 'iron']",,,"With other, known acceptors.","['C00001', 'C00007', 'C00014', 'C19688', 'C19698']",,
1.21.98.3,Generic FeS,TRUE,,,,TRUE,,"This radical AdoMet enzyme participates in the biosynthesis of chlorophyllide a in anaerobic bacteria, catalysing the formation of an isocyclic ring. Contains a [4Fe-4S] cluster and a cobalamin cofactor. The same transformation is achieved in aerobic organisms by the oxygen-dependent EC 1.14.13.81, magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase. Some facultative phototrophic bacteria, such as Rubrivivax gelatinosus, possess both enzymes.","['anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase', 'bchE (gene name)', 'MPE cyclase (ambiguous)']","['This radical AdoMet enzyme participates in the biosynthesis of chlorophyllide a in anaerobic bacteria, catalyzing the formation of an isocyclic ring.', 'The same transformation is achieved in aerobic organisms by the oxygen-dependent EC 1.14.13.81.', 'Some facultative phototrophic bacteria, such as Rubrivivax gelatinosus, possess both enzymes.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,"With other, known acceptors.","['C00001', 'C00019', 'C00073', 'C04536', 'C05198', 'C11829', 'C11830', 'C11831']",,
1.21.99.5,Generic FeS,TRUE,,,TRUE,TRUE,,"This enzyme allows the common pollutant tetrachloroethene to support bacterial growth and is responsible for disposal of a number of chlorinated hydrocarbons. The reaction occurs in the reverse direction. The enzyme also reduces trichloroethene to dichloroethene. Although the physiological reductant is unknown, the supply of reductant in some organisms involves menaquinol, which is reduced by molecular hydrogen via the action of EC 1.12.5.1, hydrogen:quinone oxidoreductase. The enzyme contains a corrinoid and two iron-sulfur clusters. Methylviologen can act as electron donor in vitro.","['tetrachloroethene reductive dehalogenase', 'tetrachloroethene reductase']","['This enzyme allows the common pollutant tetrachloroethene to support bacterial growth and is responsible for disposal of a number of chlorinated hydrocarbons by this organism.', 'The reaction occurs in the reverse direction.', 'The enzyme also reduces trichloroethene to dichloroethene.', 'Although the physiological reductant is unknown, the supply of reductant in some organisms is via reduced menaquinone, itself formed from molecular hydrogen, via EC 1.12.5.1.', 'Methylviologen can act as electron donor.']",,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'quinone']",,,With other acceptors.,"['C00028', 'C00030', 'C00080', 'C00698', 'C01327', 'C06789', 'C06790', 'C06791', 'C06792']",,
1.3.1.1,Generic FeS,TRUE,,,TRUE,TRUE,,"An iron-sulfur flavoenzyme. The enzyme was originally discovered in the uracil-fermenting bacterium, Clostridium uracilicum, which utilizes uracil and thymine as nitrogen and carbon sources for growth [1]. Since then the enzyme was found in additional organisms including Alcaligenes eutrophus [2], Pseudomonas strains [3,4] and Escherichia coli [5,6].","['dihydropyrimidine dehydrogenase (NAD+)', 'dihydropyrimidine dehydrogenase', 'dihydrothymine dehydrogenase', 'pyrimidine reductase', 'thymine reductase', 'uracil reductase', 'dihydrouracil dehydrogenase (NAD+)']","['The enzyme was originally discovered in the uracil-fermenting bacterium, Clostridium uracilicum, which utilizes uracil and thymine as nitrogen and carbon sources for growth.', 'Since then the enzyme was found in additional organisms including Alcaligenes eutrophus, Pseudomonas strains and Escherichia coli.']",,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'flavoenzyme']",,,With NAD(+) or NADP(+) as acceptor.,"['C00003', 'C00004', 'C00080', 'C00106', 'C00178', 'C00429', 'C00906', 'C21028']",,
1.3.1.108,Generic FeS,TRUE,,,,TRUE,,"The enzyme, characterized from the bacterium Acetobacterium woodii, contains two [4Fe-4S] clusters and FAD. The enzyme couples the endergonic ferredoxin reduction with NADH as reductant to the exergonic reduction of caffeoyl-CoA with the same reductant. It uses the mechanism of electron bifurcation to overcome the steep energy barrier in ferredoxin reduction. It also reduces 4-coumaroyl-CoA and feruloyl-CoA.","['caffeoyl-CoA reductase', 'electron-bifurcating caffeoyl-CoA reductase', 'caffeoyl-CoA reductase-Etf complex', 'hydrocaffeoyl-CoA:NAD+,ferredoxin oxidoreductase']","['The enzyme, characterized from the bacterium Acetobacterium woodii, couples the endergonic ferredoxin reduction with NADH as reductant to the exergonic reduction of caffeoyl-CoA with the same reductant.', 'It uses the mechanism of electron bifurcation to overcome the steep energy barrier in ferredoxin reduction.', 'It also reduces 4-coumaroyl-CoA and feruloyl-CoA.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With NAD(+) or NADP(+) as acceptor.,"['C00003', 'C00004', 'C00138', 'C00139', 'C00323', 'C21175']",,
1.3.1.14,Generic FeS,TRUE,,,,TRUE,,"Binds FMN, FAD and a [2Fe-2S] cluster. The enzyme consists of two subunits, an FMN binding catalytic subunit and a FAD and iron-sulfur binding electron transfer subunit [4]. The reaction, which takes place in the cytosol, is the only redox reaction in the de-novo biosynthesis of pyrimidine nucleotides. Other class 1 dihydroorotate dehydrogenases use either fumarate (EC 1.3.98.1) or NADP+ (EC 1.3.1.15) as electron acceptor. The membrane bound class 2 dihydroorotate dehydrogenase (EC 1.3.5.2) uses quinone as electron acceptor.","['dihydroorotate dehydrogenase (NAD+)', 'orotate reductase (NADH)', 'orotate reductase (NADH2)', 'DHOdehase (ambiguous)', 'DHOD (ambiguous)', 'DHODase (ambiguous)', 'dihydroorotate oxidase, pyrD (gene name)']","['The enzyme consists of two subunits, an FMN binding catalytic subunit and a FAD and iron-sulfur binding electron transfer subunit.', 'The reaction, which takes place in the cytosol, is the only redox reaction in the de-novo biosynthesis of pyrimidine nucleotides.', 'Other class 1 dihydroorotate dehydrogenases use either fumarate (EC 1.3.98.1) or NADP(+) (EC 1.3.1.15) as electron acceptor.', 'The membrane bound class 2 dihydroorotate dehydrogenase (EC 1.3.5.2) uses quinone as electron acceptor.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With NAD(+) or NADP(+) as acceptor.,"['C00003', 'C00004', 'C00080', 'C00295', 'C00337']",,
1.3.1.31,Generic FeS,TRUE,,,TRUE,TRUE,,An iron-sulfur-flavoprotein (FAD). Acts (in the reverse direction) on a wide range of alkyl and aryl alphabeta-unsaturated carboxylate ions; but-2-enoate was the best substrate tested.,"['2-enoate reductase', 'enoate reductase']","['Acts, in the reverse direction, on a wide range of alkyl and aryl alpha-beta-unsaturated carboxylate ions; 2-butenoate was the best substrate tested.']",,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'flavoprotein', 'FAD']",,,With NAD(+) or NADP(+) as acceptor.,"['C00003', 'C00004', 'C00080', 'C00246', 'C00423', 'C01771', 'C05629']",,
1.3.5.1,Generic FeS,TRUE,,,TRUE,TRUE,,"A flavoprotein (FAD) complex containing iron-sulfur centres. The enzyme is found in the inner mitochondrial membrane in eukaryotes and the plasma membrane of many aerobic or facultative bacteria and archaea. It catalyses succinate oxidation in the citric acid cycle and transfers the electrons to quinones in the membrane, thus constituting a part of the aerobic respiratory chain (known as complex II). In vivo the enzyme uses the quinone found in the organism - eukaryotic enzymes utilize ubiquinone, bacterial enzymes utilize ubiquinone or menaquinone, and archaebacterial enzymes from the Sulfolobus genus use caldariellaquinone. cf. EC 1.3.5.4, fumarate reductase (quinol).","['succinate dehydrogenase', 'succinate dehydrogenase (quinone)', 'succinate dehydrogenase (ubiquinone)', 'succinic dehydrogenase', 'complex II (ambiguous)', 'succinate dehydrogenase complex', 'SDH (ambiguous)', 'succinate:ubiquinone oxidoreductase']","['The enzyme is found in the inner mitochondrial membrane in eukaryotes and the plasma membrane of many aerobic or facultative bacteria.', 'It catalyzes succinate oxidation in the citric acid cycle and transfers the electrons to quinones in the membrane, thus constituting a part of the aerobic respiratory chain (known as complex II).', 'In vivo the enzyme uses the quinone found in the organism -eukaryotic enzymes utilize ubiquinone, bacterial enzymes utilize ubiquinone or menaquinone, and archaebacterial enzymes from the Sulfolobus genus use caldariellaquinone.', 'Cf. EC 1.3.5.4.']",,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'flavoprotein', 'FAD', 'ubiquinone', 'menaquinone']",,,With a quinone or related compound as acceptor.,"['C00042', 'C00122', 'C15602', 'C15603']",,
1.3.7.14,Generic FeS,TRUE,,,,TRUE,,"The enzyme, found only in bacteriochlorophyll b-producing bacteria, catalyses the introduction of a C-8 ethylidene group. The enzyme contains a [4Fe-4S] cluster, and structurally resembles the Fe protein/MoFe protein complex of nitrogenase. It is very similar to EC 1.3.7.15, chlorophyllide a reductase, and is composed of three subunits. Two of them form the catalytic component, while the third one functions as an ATP-dependent reductase component that catalyses the electron transfer from ferredoxin to the catalytic component.","['3,8-divinyl chlorophyllide a reductase']","['The enzyme, found only in bacteriochlorophyll b-producing bacteria, catalyzes the introduction of a C-8 ethylidene group.', 'The enzyme contains a [4Fe-4S] cluster, and structurally resembles the Fe protein/MoFe protein complex of nitrogenase.', 'It is very similar to EC 1.3.7.15 and is composed of three subunits.', 'Two of them form the catalytic component, while the third one functions as an ATP-dependent reductase component that catalyzes the electron transfer from ferredoxin to the catalytic component.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With an iron-sulfur protein as acceptor.,"['C00001', 'C00002', 'C00008', 'C00009', 'C00080', 'C00138', 'C00139', 'C11832', 'C21441']",,
1.3.7.15,Generic FeS,TRUE,,,,TRUE,,"The enzyme, together with EC 1.1.1.396, bacteriochlorophyllide-a dehydrogenase, and EC 4.2.1.165, chlorophyllide-a 31-hydratase, is involved in the conversion of chlorophyllide a to bacteriochlorophyllide a. These enzymes can act in multiple orders, resulting in the formation of different intermediates, but the final product of the cumulative action of the three enzymes is always bacteriochlorophyllide a. This enzyme catalyses a trans-reduction of the B-ring; the product has the (7R,8R)-configuration. In addition, the enzyme has a latent activity of EC 1.3.7.13, 3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin) [4]. The enzyme contains a [4Fe-4S] cluster, and structurally resembles the Fe protein/MoFe protein complex of nitrogenase (EC 1.18.6.1), which catalyses an ATP-driven reduction.","['chlorophyllide a reductase', 'bchX (gene name)', 'bchY (gene name)', 'bchZ (gene name)', 'COR']","['The enzyme, together with EC 1.1.1.396 and EC 4.2.1.165, is involved in the conversion of chlorophyllide a to bacteriochlorophyllide a.', 'These enzymes can act in multiple orders, resulting in the formation of different intermediates, but the final product of the cumulative action of the three enzymes is always bacteriochlorophyllide a.', 'This enzyme catalyzes a trans-reduction of the B-ring; the product has the (7R,8R)-configuration.', 'In addition, the enzyme has a latent activity of EC 1.3.7.13.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With an iron-sulfur protein as acceptor.,"['C00001', 'C00002', 'C00008', 'C00009', 'C00080', 'C00138', 'C00139', 'C02139', 'C18152', 'C18153', 'C18154']",,
1.3.7.7,Generic FeS,TRUE,,,,TRUE,,"Occurs in photosynthetic bacteria, cyanobacteria, green algae and gymnosperms. The enzyme catalyses trans-reduction of the D-ring of protochlorophyllide; the product has the (7S,8S)-configuration. Unlike EC 1.3.1.33 (protochlorophyllide reductase), light is not required. The enzyme contains a [4Fe-4S] cluster, and structurally resembles the Fe protein/MoFe protein complex of nitrogenase (EC 1.18.6.1), which catalyses an ATP-driven reduction.","['ferredoxin:protochlorophyllide reductase (ATP-dependent)', 'light-independent protochlorophyllide reductase']","['Occurs in photosynthetic bacteria, cyanobacteria, green algae and gymnosperms.', 'The enzyme catalyzes trans-reduction of the D-ring of protochlorophyllide; the product has the (7S,8S)-configuration.', 'Unlike EC 1.3.1.33 light is not required.', 'The enzyme contains a [4Fe-4S] cluster, and structurally resembles the Fe protein/MoFe protein complex of EC 1.18.6.1, which catalyzes an ATP-driven reduction.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With an iron-sulfur protein as acceptor.,"['C00001', 'C00002', 'C00008', 'C00009', 'C00138', 'C00139', 'C02139', 'C02880']",,
1.3.7.8,Generic FeS,TRUE,,,TRUE,TRUE,,"An iron-sulfur protein. Requires Mg2+ or Mn2+. Inactive towards aromatic acids that are not CoA esters but will also catalyse the reaction: ammonia + acceptor + 2 ADP + 2 phosphate = hydroxylamine + reduced acceptor + 2 ATP + H2O. In the presence of reduced acceptor, but in the absence of oxidizable substrate, the enzyme catalyses the hydrolysis of ATP to ADP plus phosphate.","['benzoyl-CoA reductase', 'benzoyl-CoA reductase (dearomatizing)']","['Inactive toward aromatic acids that are not CoA esters but will also catalyze the reaction: NH(3) + acceptor + 2 ADP + 2 phosphate = hydroxylamine + reduced acceptor + 2 ATP + H(2)O.', 'In the presence of reduced acceptor, but in the absence of oxidizable substrate, the enzyme catalyzes the hydrolysis of ATP to ADP plus phosphate.']",,,,,Iron-sulfur,,,Iron-sulfur,"['CoA', 'Mg2+', 'Mn2+', 'iron-sulfur']",,,With an iron-sulfur protein as acceptor.,"['C00001', 'C00002', 'C00008', 'C00009', 'C00014', 'C00028', 'C00030', 'C00138', 'C00139', 'C00192', 'C00512', 'C06322']",,
1.3.98.3,Generic FeS,TRUE,,,,TRUE,,"This enzyme differs from EC 1.3.3.3, coproporphyrinogen oxidase, by using S-adenosyl-L-methionine (AdoMet) instead of oxygen as oxidant. It occurs mainly in bacteria, whereas eukaryotes use the oxygen-dependent oxidase. The reaction starts by using an electron from the reduced form of the enzyme's [4Fe-4S] cluster to split AdoMet into methionine and the radical 5'-deoxyadenosin-5'-yl. This radical initiates attack on the 2-carboxyethyl groups, leading to their conversion into vinyl groups. This conversion, ---(.)CH-CH2-COO- -> ---CH=CH2 + CO2 + e- replaces the electron initially used.","['coproporphyrinogen dehydrogenase', 'oxygen-independent coproporphyrinogen-III oxidase', 'HemN', 'coproporphyrinogen III oxidase']","['Differs from EC 1.3.3.3 by using S-adenosyl-L-methionine (AdoMet) instead of oxygen as oxidant.', 'Occurs mainly in bacteria, whereas eukaryotes use the oxygen-dependent oxidase.', ""The reaction starts by using an electron from the reduced form of the enzyme's [4Fe-4S] cluster to split AdoMet into methionine and the radical 5'-deoxyadenosin-5'-yl; this radical initiates attack on the 2-carboxyethyl groups, leading to their conversion into vinyl groups."", 'This conversion, -.CH-CH(2)-COO- -> -CH=CH(2) + CO(2) + e(-) replaces the electron initially used.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,"With other, known, acceptors.","['C00011', 'C00019', 'C00073', 'C01079', 'C03263', 'C05198']",,
1.3.99.17,Generic FeS,TRUE,,,,TRUE,,"Quinolin-2-ol, quinolin-7-ol, quinolin-8-ol, 3-, 4- and 8-methylquinolines and 8-chloroquinoline are substrates. Iodonitrotetrazolium chloride can act as an electron acceptor.",['quinoline 2-oxidoreductase'],"['In addition to quinoline, quinolin-2-ol, quinolin-7-ol, quinolin-8-ol, 3-, 4- and 8-methylquinolines and 8-chloroquinoline are substrates.', 'Iodonitrotetrazolium chloride (INT) can act as an electron acceptor.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With other acceptors.,"['C00001', 'C00028', 'C00030', 'C06413', 'C06415']",,
1.3.99.19,Generic FeS,TRUE,,,,TRUE,,"A molybdenum---iron---sulfur flavoprotein with molybdopterin cytosine dinucleotide as the molybdenum cofactor. Quinoline, 4-methylquinoline and 4-chloroquinoline can also serve as substrates for the enzyme from Agrobacterium sp. 1B. Iodonitrotetrazolium chloride, thionine, menadione and 2,6-dichlorophenolindophenol can act as electron acceptors.","['quinoline-4-carboxylate 2-oxidoreductase', 'quinaldic acid 4-oxidoreductase', 'quinoline-4-carboxylate:acceptor 2-oxidoreductase (hydroxylating)']","['Quinoline, 4-methylquinoline and 4-chloroquinoline can also serve as substrates for the enzyme from Agrobacterium sp. 1B.', 'Iodonitrotetrazolium chloride, thionine, menadione and 2,6-dichlorophenolindophenol can act as electron acceptors.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With other acceptors.,"['C00001', 'C00028', 'C00030', 'C06414', 'C16715']",,
1.4.1.13,Generic FeS,TRUE,,,,TRUE,,"Binds FMN, FAD, 2 [4Fe-4S] clusters and 1 [3Fe-4S] cluster. The reaction takes place in the direction of L-glutamate production. The protein is composed of two subunits, alpha and beta. The alpha subunit is composed of two domains, one hydrolysing L-glutamine to NH3 and L-glutamate (cf. EC 3.5.1.2, glutaminase), the other combining the produced NH3 with 2-oxoglutarate to produce a second molecule of L-glutamate (cf. EC 1.4.1.4, glutamate dehydrogenase [NADP+]). The beta subunit transfers electrons from the cosubstrate. The NH3 is channeled within the alpha subunit through a 31 A channel. The chanelling is very efficient and in the intact alpha-beta complex ammonia is produced only within the complex. In the absence of the beta subunit, coupling between the two domains of the alpha subunit is compromised and some ammonium can leak.","['glutamate synthase (NADPH)', 'glutamate (reduced nicotinamide adenine dinucleotide phosphate) synthase', 'L-glutamate synthase', 'L-glutamate synthetase', 'glutamate synthetase (NADP)', 'NADPH-dependent glutamate synthase', 'glutamine-ketoglutaric aminotransferase', 'NADPH-glutamate synthase', 'NADPH-linked glutamate synthase', 'glutamine amide-2-oxoglutarate aminotransferase (oxidoreductase, NADP)', 'L-glutamine:2-oxoglutarate aminotransferase, NADPH oxidizing', 'GOGAT']","['The reaction takes place in the opposite direction.', 'The protein is composed of two subunits, alpha and beta.', 'The alpha subunit is composed of two domains, one hydrolyzing L-glutamine to NH(3) and L-glutamate (cf. EC 3.5.1.2), the other combining the produced NH(3) with 2-oxoglutarate to produce a second molecule of L-glutamate (cf. EC 1.4.1.4).', 'The beta subunit transfers electrons from the cosubstrate.', 'The NH(3) is channeled through a 31 A channel in the active protein.', 'In the absence of the beta subunit, coupling between the two domains of the alpha subunit is compromised and some ammonium can be produced.', 'In the intact alpha-beta complex, ammonia production only takes place as part of the overall reaction.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With NAD(+) or NADP(+) as acceptor.,"['C00001', 'C00005', 'C00006', 'C00014', 'C00025', 'C00026', 'C00064', 'C00080']",,
1.4.5.1,Generic FeS,TRUE,,,TRUE,TRUE,,"An iron-sulfur flavoprotein (FAD). The enzyme from the bacterium Helicobacter pylori is highly specific for D-proline, while the enzyme from the bacterium Escherichia coli B is most active with D-alanine, D-phenylalanine and D-methionine. This enzyme may be the same as EC 1.4.99.6.","['D-amino acid dehydrogenase (quinone)', 'DadA']","['The enzyme from the bacterium Helicobacter pylori is highly specific for D-proline, while the enzyme from the bacterium Escherichia coli B is most active with D-alanine, D-phenylalanine and D-methionine.', 'This enzyme may be the same as EC 1.4.99.6.']",,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'flavoprotein', 'FAD']",,,With a quinone or similar compound as acceptor.,"['C00001', 'C00014', 'C00161', 'C00166', 'C00405', 'C02265', 'C15602', 'C15603']",,
1.4.7.1,Generic FeS,TRUE,,,,TRUE,,"Binds a [3Fe-4S] cluster as well as FAD and FMN. The protein is composed of two domains, one hydrolysing L-glutamine to NH3 and L-glutamate (cf. EC 3.5.1.2, glutaminase), the other combining the produced NH3 with 2-oxoglutarate to produce a second molecule of L-glutamate. The NH3 is channeled through a 24 A channel in the active protein. No hydrolysis of glutamine takes place without ferredoxin and 2-oxoglutarate being bound to the protein [5,6].","['glutamate synthase (ferredoxin)', 'ferredoxin-dependent glutamate synthase', 'ferredoxin-glutamate synthase', 'glutamate synthase (ferredoxin-dependent)']","['The protein is composed of two domains, one hydrolyzing L-glutamine to NH(3) and L-glutamate (cf. EC 3.5.1.2), the other combining the produced NH(3) with 2-oxoglutarate to produce a second molecule of L-glutamate.', 'The NH(3) is channeled through a 24 A channel in the active protein.', 'No hydrolysis of glutamine takes place without ferredoxin and 2-oxoglutarate being bound to the protein.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With an iron-sulfur protein as acceptor.,"['C00001', 'C00014', 'C00025', 'C00026', 'C00064', 'C00080', 'C00138', 'C00139']",,
1.5.5.1,Generic FeS,TRUE,,,TRUE,TRUE,,"An iron-sulfur flavoprotein, forming part of the mitochondrial electron-transfer system.","['electron-transferring-flavoprotein dehydrogenase', 'ETF-QO', 'ETF:ubiquinone oxidoreductase', 'electron transfer flavoprotein dehydrogenase', 'electron transfer flavoprotein Q oxidoreductase', 'electron transfer flavoprotein-ubiquinone oxidoreductase', 'electron transfer flavoprotein reductase']",['Forms part of the mitochondrial electron-transfer system.'],,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'flavoprotein']",,,With a quinone or similar compound as acceptor.,"['C00390', 'C00399', 'C04253', 'C04570']",,
1.5.7.1,Generic FeS,TRUE,,,,TRUE,,"An iron-sulfur flavoprotein that also contains zinc. The enzyme from Clostridium formicoaceticum catalyses the reduction of methylene blue, menadione, benzyl viologen, rubredoxin or FAD with 5-methyltetrahydrofolate and the oxidation of reduced ferredoxin or FADH2 with 5,10-methylenetetrahydrofolate. However, unlike EC 1.5.1.20, methylenetetrahydrofolate reductase [NAD(P)H], there is no activity with NAD(P)H.","['methylenetetrahydrofolate reductase (ferredoxin)', '5,10-methylenetetrahydrofolate reductase']","['The enzyme from Clostridium formicoaceticum catalyzes the reduction of methylene blue, menadione, benzyl viologen, rubredoxin or FAD with 5-methyltetrahydrofolate and the oxidation of reduced ferredoxin or FADH(2) with 5,10-methylenetetrahydrofolate.', 'However, unlike EC 1.5.1.20, there is no activity with NAD(P)H.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With an iron-sulfur protein as acceptor.,"['C00080', 'C00138', 'C00139', 'C00143', 'C00440']",,
1.5.7.2,Generic FeS,TRUE,,,TRUE,TRUE,,The enzyme from the archaeon Methanosarcina mazei contains iron-sulfur centres and FAD.,"['coenzyme F420 oxidoreductase (ferredoxin)', 'Fd:F420 oxidoreductase', 'FpoF protein', 'ferredoxin:F420 oxidoreductase']",,,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'FAD']",,,With an iron-sulfur protein as acceptor.,"['C00080', 'C00138', 'C00139', 'C00876', 'C01080']",,
1.5.8.1,Generic FeS,TRUE,,,,TRUE,,Contains FAD and a [4Fe-4S] cluster.,['dimethylamine dehydrogenase'],,,,,,Iron-sulfur,,,Iron-sulfur,,,,With a flavin as acceptor.,"['C00001', 'C00067', 'C00218', 'C00543', 'C04253', 'C04570']",,
1.5.8.2,Generic FeS,TRUE,,,,TRUE,,"A number of alkyl-substituted derivatives of trimethylamine can also act as electron donors; phenazine methosulfate and 2,6-dichloroindophenol can act as electron acceptors. Contains FAD and a [4Fe-4S] cluster.",['trimethylamine dehydrogenase'],"['A number of alkyl-substituted derivatives of trimethylamine can also act as electron donors.', 'Phenazine methosulfate and 2,6-dichloroindophenol can act as electron acceptors.']",,,,,Iron-sulfur,,,Iron-sulfur,,,,With a flavin as acceptor.,"['C00001', 'C00067', 'C00543', 'C00565', 'C04253', 'C04570']",,
1.5.99.15,Generic FeS,TRUE,,,TRUE,TRUE,,"This archaeal enzyme catalyses the last step in the biosynthesis of tetrahydromethanopterin, a coenzyme used in methanogenesis. The enzyme, characterized from the archaea Methanosarcina mazei and Methanocaldococcus jannaschii, is an iron-sulfur flavoprotein. cf. EC 1.5.1.47, dihydromethanopterin reductase [NAD(P)+].","['dihydromethanopterin reductase (acceptor)', 'DmrX']","['This archaeal enzyme catalyzes the last step in the biosynthesis of tetrahydromethanopterin, a coenzyme used in methanogenesis.', 'The enzyme is characterized from the archaea Methanosarcina mazei and Methanocaldococcus jannaschii.', 'Cf. EC 1.5.1.47.']",,,,,Iron-sulfur,,,Iron-sulfur,"['iron-sulfur', 'flavoprotein', 'NAD', 'tetrahydromethanopterin']",,,With other acceptors.,"['C00028', 'C00030', 'C01217', 'C05927']",,
